Station_ID,Name,Network,Phone,Town,Latitude,Longitude,Usage_Type,Price_Details,Equipment_Spec,Power_KW,Port_Count,Operational_Status
474960-0,EVO Charge Mirigama ,(Unknown Operator),0718187989,Mirigama ,7.217190119415733,80.1129166277874,Public - Membership Required,75.00 LKR/kWh,Unknown,60.0,2,Operational
472593-0,EVO EV Charing Station - Matara,(Unknown Operator),0768766088,Matara,5.944479570429479,80.55141741530588,Public,Rs 100 per KW,CHAdeMO,40.0,2,Operational
472593-1,EVO EV Charing Station - Matara,(Unknown Operator),0768766088,Matara,5.944479570429479,80.55141741530588,Public,Rs 100 per KW,Type 2 (Socket Only),22.0,1,Operational
472593-2,EVO EV Charing Station - Matara,(Unknown Operator),0768766088,Matara,5.944479570429479,80.55141741530588,Public,Rs 100 per KW,Type 1 (J1772),22.0,1,Operational
469432-0,Sakalya Lake View,(Unknown Operator),0773481988,Tissamaharama,6.289627510534132,81.27550361151134,Public - Pay At Location,75.00 LKR/kWh,Type 2 (Socket Only),7.0,1,Operational
469432-1,Sakalya Lake View,(Unknown Operator),0773481988,Tissamaharama,6.289627510534132,81.27550361151134,Public - Pay At Location,75.00 LKR/kWh,CHAdeMO,7.0,1,Operational
469432-2,Sakalya Lake View,(Unknown Operator),0773481988,Tissamaharama,6.289627510534132,81.27550361151134,Public - Pay At Location,75.00 LKR/kWh,Type 1 (J1772),7.0,1,Operational
469431-0,Sakalya Lake View,(Unknown Operator),0472239021,Tissamaharama,6.2893443996299965,81.27585759960607,Public - Pay At Location,75.00 LKR/kWh,Type 2 (Socket Only),7.0,1,Operational
469431-1,Sakalya Lake View,(Unknown Operator),0472239021,Tissamaharama,6.2893443996299965,81.27585759960607,Public - Pay At Location,75.00 LKR/kWh,CHAdeMO,7.0,1,Operational
469431-2,Sakalya Lake View,(Unknown Operator),0472239021,Tissamaharama,6.2893443996299965,81.27585759960607,Public - Pay At Location,75.00 LKR/kWh,Type 1 (J1772),7.0,1,Operational
460586-0,Sooriya Wessagiri Resort ,(Unknown Operator),,Anuradhapura ,8.32431510662309,80.3851166220361,Public,100,Type 2 (Socket Only),22.0,1,Operational
460066-0,Keells,Volta Charging,,Puttalam,8.028023445356112,79.83711927207196,Public,142,CHAdeMO,30.0,1,Operational
266281-0,Modern Technology Lanka,chargeNET (lk),0771480884,Galle,6.069315662243753,80.23406323762545,Public - Membership Required,70LKR/kWh,Type 1 (J1772),6.6,1,Operational
264394-0,Galle EV Point ,EV Point Moldova,0767604103 ,Galle,6.051663709744403,80.25802011710846,Public - Membership Required,30 LKR per minute,CHAdeMO,50.0,1,Operational
264392-0,Ceylon Electricity Board - Avissawella,chargeNET (lk),0717219775,Avissawella,6.94758866739781,80.21436823239577,Public - Membership Required,Day : 83.08 LKR/kWh | Peak : 107.70 LKR/kWh | Off Peak : 51.29 LKR/kWh ,CHAdeMO,50.0,1,Operational
264391-0,Ceylon Electricity Board - Nuwara Eliya,chargeNET (lk),0522 222 343, Nuwara Eliya,6.96580130041778,80.77193220574014,Public - Membership Required,Day : 83.08 LKR/kWh | Peak : 107.70 LKR/kWh | Off Peak : 51.29 LKR/kWh ,CHAdeMO,50.0,1,Operational
264389-0,Ceylon Electricity Board - Kandy,chargeNET (lk),0717219775 ,Kandy,7.294207787655225,80.63379397673481,Public - Membership Required,Day : 83.08 LKR/kWh | Peak : 107.70 LKR/kWh | Off Peak : 51.29 LKR/kWh ,CHAdeMO,50.0,1,Operational
